file,location,frequency,status,error,header_found,rows_after_datetime_parse,mapped_columns_count,missing_cells,rows_with_missing,invalid_negative,invalid_gt500,duplicate_timestamps,irregular_gaps
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\Nov-23\DCR AIIMS_RAIPUR _ QUAT - Nov -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\Nov-23\DCR AIIMS_RAIPUR_ Hourly - Nov-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\Octo-23\DCR AIIMS_RAIPUR _ QUAT - Octo -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\Octo-23\DCR AIIMS_RAIPUR_ Hourly - Octo-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\sept-23\DCR AIIMS_RAIPUR _ QUAT - Sept-2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\sept-23\DCR AIIMS_RAIPUR_ Hourly - Sept-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Apr -24\DCR AIIMS_RAIPUR _ QUAT - APR -2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Apr -24\DCR AIIMS_RAIPUR_ Hourly - APR-2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Aug-24\DCR AIIMS_RAIPUR _ QUAT - AUG -2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Aug-24\DCR AIIMS_RAIPUR_ Hourly - AUG-2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,60.0,20.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Dec-24\DCR AIIMS_RAIPUR _ QUAT - DEC -2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Dec-24\DCR AIIMS_RAIPUR_ Hourly - DEC-2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Feb-24\DCR AIIMS_RAIPUR _ QUAT - FEB -2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0
